SECURITY_TICKER,MARKET_TICKER,EVENT_DATE
000524.SZ,SPY,20/1/2020
000610.SZ,SPY,20/1/2020
000796.SZ,SPY,20/1/2020
002159.SZ,SPY,20/1/2020
002707.SZ,SPY,20/1/2020
000524.SZ,SPY,3/2/2020
000610.SZ,SPY,3/2/2020
000796.SZ,SPY,3/2/2020
002159.SZ,SPY,3/2/2020
002707.SZ,SPY,3/2/2020
000504.SZ,SPY,20/1/2020
000516.SZ,SPY,20/1/2020
000615.SZ,SPY,20/1/2020
000710.SZ,SPY,20/1/2020
002022.SZ,SPY,20/1/2020
000504.SZ,SPY,3/2/2020
000516.SZ,SPY,3/2/2020
000615.SZ,SPY,3/2/2020
000710.SZ,SPY,3/2/2020
002022.SZ,SPY,3/2/2020
