security_ticker,market_ticker,event_date
000504.SZ,000004.SZ,2020-12-20
000516.SZ,000004.SZ,2020-12-20
000615.SZ,000004.SZ,2020-12-20
000710.SZ,000004.SZ,2020-12-20
002022.SZ,000004.SZ,2020-12-20
002030.SZ,000004.SZ,2020-12-20
002044.SZ,000004.SZ,2020-12-20
002086.SZ,000004.SZ,2020-12-20
002172.SZ,000004.SZ,2020-12-20
002173.SZ,000004.SZ,2020-12-20
000504.SZ,000004.SZ,2020-3-20
000516.SZ,000004.SZ,2020-3-20
000615.SZ,000004.SZ,2020-3-20
000710.SZ,000004.SZ,2020-3-20
002022.SZ,000004.SZ,2020-3-20
002030.SZ,000004.SZ,2020-3-20
002044.SZ,000004.SZ,2020-3-20
002086.SZ,000004.SZ,2020-3-20
002172.SZ,000004.SZ,2020-3-20
002173.SZ,000004.SZ,2020-3-20
