ts_code,introduction,main_business
300309.SZ,公司是国内知名的石油测井设备专业制造商。主营业务是石油测井仪器的研发、生产、销售和现场技术服务，以及利用测井仪器为油田客户提供测井工程服务，主要产品为GILEE系列成像测井系统，包括下井仪器和地面系统。公司的产品性能与核心技术处于国际先进水平，在国内同行业中具有显著的竞争优势，打破了少数国际领先的技术服务公司对测井仪器制造技术的垄断。公司与国内主要的石油测井服务单位如大庆钻探、渤海钻探等建立了稳定的合作关系。,"公司的主营业务是石油测井仪器的研发,生产,销售和现场技术服务,以及利用测井仪器为油田客户提供测井工程服务.公司的主要产品为GILEE系列成像测井系统,包括下井仪器和地面系统."
430047.BJ,公司是一家创新型生物制药企业，专业从事基因治疗药物、重组蛋白质类药物和眼科用药的研发、生产与销售，主要产品为生物工程新药(基因治疗药物、重组蛋白质类药物)和眼科药物，并依托自身技术平台提供技术转让和技术服务。生物工程新药为公司重点开发的产品，但因其开发周期长、投入大，公司同步开发了滴眼液化学仿制药。该类药物资金投入小、周期短、资金回笼快，可为生物工程新药的开发和公司持续运营提供资金支持。此外，公司充分利用现有滴眼液生产技术和产能优势提供受托加工服务，以增加造血功能、缓解资金压力。,"基因工程蛋白质类药物,基因治疗药物和眼科用药物的研发,生产及销售"
430090.BJ,公司通过了ISO9001-2008质量体系认证，在多媒体视频解决方案的研发、组装及系统集成服务方面具备标准化的质量控制体系，公司加入了北京中关村企业信用促进会、北京中关村高新技术企业协会、北京软件行业协会、北京民营科技实业家协会，在行业中具备一定的影响力，。目前公司已在高端视频墙和室外液晶数字标牌领域占据了较强的市场地位，尤其是在传媒与能源行业，知名度较高。公司在商用显示解决方案领域树立起自己的口碑和品牌。,"公司主营业务为向金融,展览展示,教育,影院等各行业用户提供领先的视觉综合解决方案及产品."
430139.BJ,公司2001年成立于上海张江高科技园区。公司是一家专业从事集成电路测试技术研究开发、芯片设计验证分析和产业化生产测试服务企业，是第一批国家鼓励的集成电路企业、高新技术企业和上海市“创新型企业”，是上海市科委、国家工信部、国家科委立项支持的“集成电路测试公共服务平台”和上海市“集成电路测试专业技术服务平台”。公司是第一批国家鼓励的集成电路企业和高新技术企业，公司技术水平先进、装备一流，是具有自主技术创新研发和持续发展能力的国内先进的集成电路测试技术领先企业。公司自2001年成立已来，先后承担了国家集成电路技术研发和上海市科技攻关项目等多个国家和地方的集成电路测试技术开发项目，已为国内外200多家集成电路企业几百种集成电路产品提供了优质的测试服务。,"晶圆测试,IC成品测试,测试验证分析,测试技术研究,程序开发,自有设备租赁"
430198.BJ,公司主要从事智慧交通领域中以视频为核心的高速公路监控信息化产品的研发、生产、销售及技术服务。智慧交通是在智能交通的基础上，充分运用物联网、云计算、互联网、人工智能、自动控制、移动互联网等技术，通过汇集交通信息，对交通管理、交通运输、公众出行等领域以及交通建设管理全过程进行管控支撑，使交通系统在区域、城市甚至更大的时空范围具备感知、互联、分析、预测、控制等能力，以充分保障交通安全、发挥交通基础设施效能、提升交通系统运行效率和管理水平，为通畅的公众出行和可持续的经济发展服务。,以视频为核心的监控信息化产品和解决方案
430300.BJ,公司拥有逾34000平方米的高灵敏度磁共振探测器研发和生产基地，有逾200名雇员，10多个MRI射频线圈的研发队伍，其中博士8人、硕士10多人、射频电子工程师近40多人。公司的研发项目带头人在海外有多年从事MRI射频线圈的开发、设计和生产的经验，由他们设计生产的多种磁共振射频线圈已配套应用于荷兰飞利浦、美国通用电气公司、德国西门子公司和日本日立公司等国际知名跨国企业生产的磁共振系统。,"高灵敏度磁共振射频探测器及其配件的设计,研究,开发,生产,维修,超导磁体的研发,生产,销售,技术咨询,技术开发,技术服务,技术转让,销售自产产品,提供相关技术的技术转让,技术咨询,技术开发,电线,电缆,电子元件,电子器件,电子设备,五金,塑料制品,纸制品的销售,从事货物与技术的进出口业务."
430418.BJ,公司是滚针轴承、圆柱滚子轴承和滚针的专业设计与制造公司，江苏省高新技术企业。公司在上世纪六十年代初，即生产出了我国第一支滚针，七十年代主持起草了我国第一部滚针轴承行业标准，八十年代注册“中华”商标，九十年代被认定为江苏省第一批高新技术企业，公司于2008年被认定为国家高新技术企业并维持至今注册商标：“中华牌”“SZZH”。主要产品系列有冲压外圈滚针轴承、冲压外圈滚针离合器、圆柱滚子轴承、圆柱滚子离合器和球轴承组件、推力轴承、滚轮轴承、直线运动滚子导轨支承和滚动体等。,"轴承,滚动体等机电设备零部件的研发,生产及销售"
430425.BJ,公司(原步进机电有限公司)是一家以技术为依托的专业运动控制公司，自1997年成立以来，倾力投入于运动控制产品的开发研制和应用推广。公司自行开发的MPC系列运动控制器已成功应用于国内外上百个行业，数万台机器设备，并控制着几十万套伺服步进；此外，公司还和多家欧洲知名控制器制造商紧密合作，从而确保能为不同行业的客户提供完美的控制器配套方案。同时，我们还是行业内最早推广精密步进伺服的公司之一。代理和自行开发生产的产品均获得市场的一致好评。,"主要产品包括点胶控制系统,通用运动控制器,伺服驱动器等"
430476.BJ,公司致力于食品安全与营养、药品安全监督的分析仪器和分析方法的研究以及行业内应用方案的解决。TART品质认证标准通过多达17道检验工序确保了海能每一台分析仪器的品质和精确度，触摸机身。海能追求与仪器本身同样高品质的售后服务层次，不断努力建立全天候7×24服务响应机制的更高台阶。,"一般项目:工程和技术研究和试验发展;技术服务,技术开发,技术咨询,技术交流,技术转让,技术推广;软件开发;软件销售;实验分析仪器制造;实验分析仪器销售;生态环境监测及检测仪器仪表制造;生态环境监测及检测仪器仪表销售;第一类医疗器械生产;第一类医疗器械销售;第二类医疗器械销售;生物化工产品技术研发;人工智能通用应用系统;智能控制系统集成;智能机器人的研发;智能机器人销售;物联网技术研发;物联网应用服务;物联网技术服务;信息技术咨询服务;以自有资金从事投资活动;非居住房地产租赁(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)许可项目:第二类医疗器械生产;第三类医疗器械生产;第三类医疗器械经营;医疗服务;检验检测服务;货物进出口;技术进出口(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以审批结果为准)"
430478.BJ,公司成立于2007年10月，是专业从事各类精细化学品的研发、生产与销售的精细化工企业，涉及的产品包含了呼吸系统类药物、解热镇痛类药物、抗肿瘤药物、消化系统药物、血栓类药物、血糖类药物、病毒类药物中间体，紫外线吸收剂，农药中间体和电子化学品。2012年，公司获得了“安徽省出口创汇一百强企业”;“天长市综合实力10强企业”荣誉称号。禾益化学强调公司的发展必须依托优质的产品质量，安全的工作环境和自觉的环境保护意识，禾益药品投入了巨大的精力和物力，进行质量认证、注册、安全生产和环境保护。产品顺利通过ISO9001:2008质量管理体系认证以及ISO14001:2004环境管理体系认证工作。,"高级医药中间体,原料药及相关产品的研发,生产与销售"
