ts_code,symbol,name,area,industry,fullname,enname,list_date
000001.SZ,1.0,平安银行,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",1991-04-03
000002.SZ,2.0,万科A,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",1991-01-29
000004.SZ,4.0,ST国华,深圳,软件服务,深圳国华网安科技股份有限公司,"Shenzhen Guohua Network Security Technology Co., Ltd.",1991-01-14
000005.SZ,5.0,ST星源,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,1990-12-10
000006.SZ,6.0,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co., Ltd",1992-04-27
000007.SZ,7.0,*ST全新,深圳,其他商业,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co,.Ltd.",1992-04-13
000008.SZ,8.0,神州高铁,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",1992-05-07
000009.SZ,9.0,中国宝安,深圳,电气设备,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",1991-06-25
000010.SZ,10.0,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",1995-10-27
000011.SZ,11.0,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,1992-03-30
000012.SZ,12.0,南玻A,深圳,玻璃,中国南玻集团股份有限公司,"Csg Holding Co., Ltd.",1992-02-28
000014.SZ,14.0,沙河股份,深圳,全国地产,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",1992-06-02
000016.SZ,16.0,深康佳A,深圳,家用电器,康佳集团股份有限公司,"Konka Group Co.,Ltd",1992-03-27
000017.SZ,17.0,深中华A,深圳,服饰,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,1992-03-31
000019.SZ,19.0,深粮控股,深圳,农业综合,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co.,Ltd.",1992-10-12
000020.SZ,20.0,深华发A,深圳,元器件,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",1992-04-28
000021.SZ,21.0,深科技,深圳,元器件,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",1994-02-02
000023.SZ,23.0,ST深天,深圳,水泥,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co.,Ltd.",1993-04-29
000025.SZ,25.0,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd.",1993-06-21
000026.SZ,26.0,飞亚达,深圳,服饰,飞亚达精密科技股份有限公司,"Fiyta Precision Technology Co., Ltd.",1993-06-03
000027.SZ,27.0,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",1993-09-03
000028.SZ,28.0,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,1993-08-09
000029.SZ,29.0,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",1993-09-15
000030.SZ,30.0,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,Fawer Automotive Parts Limited Company,1993-09-29
000031.SZ,31.0,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co.,Ltd.",1993-10-08
000032.SZ,32.0,深桑达A,深圳,建筑工程,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd.",1993-10-28
000034.SZ,34.0,神州数码,深圳,软件服务,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",1994-05-09
000035.SZ,35.0,中国天楹,江苏,环境保护,中国天楹股份有限公司,China Tianying Inc.,1994-04-08
000036.SZ,36.0,华联控股,深圳,全国地产,华联控股股份有限公司,China Union Holdings Ltd.,1994-06-17
000037.SZ,37.0,深南电A,深圳,火力发电,深圳南山热电股份有限公司,Shenzhen Nanshan Power Company Limited,1994-07-01
000038.SZ,38.0,*ST大通,深圳,综合类,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",1994-08-08
000039.SZ,39.0,中集集团,深圳,运输设备,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd",1994-04-08
000040.SZ,40.0,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",1994-08-08
000042.SZ,42.0,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holding Co.,Ltd",1994-09-21
